cropname,locationname,locationtype,cropyear,seasonname,Area (Lakh Ha),variation_percentage,variation_value,Source
Sunflower,All India,country,1980-81,Kharif,1.19,,,DA&FW
Sunflower,All India,country,1981-82,Kharif,1.69,41.624790619765506,0.4970000000000001,DA&FW
Sunflower,All India,country,1982-83,Kharif,2.77,63.98580721466588,1.082,DA&FW
Sunflower,All India,country,1983-84,Kharif,4.18,50.55896141363143,1.4019999999999997,DA&FW
Sunflower,All India,country,1984-85,Kharif,5.01,19.952095808383238,0.8330000000000002,DA&FW
Sunflower,All India,country,1985-86,Kharif,4.51,-9.944089456869014,-0.4980000000000002,DA&FW
Sunflower,All India,country,1986-87,Kharif,6.14,36.031042128603104,1.625,DA&FW
Sunflower,All India,country,1987-88,Kharif,9.91,61.499592502037494,3.7729999999999997,DA&FW
Sunflower,All India,country,1988-89,Kharif,6.45,-34.91118288251918,-3.4589999999999996,DA&FW
Sunflower,All India,country,1989-90,Kharif,5.48,-15.010079082028222,-0.968,DA&FW
Sunflower,All India,country,1990-91,Kharif,7.15,30.432402846195956,1.6680000000000001,DA&FW
Sunflower,All India,country,1991-92,Kharif,9.73,36.1309274024339,2.5829999999999993,DA&FW
Sunflower,All India,country,1992-93,Kharif,9.19,-5.56925606247431,-0.5419999999999998,DA&FW
Sunflower,All India,country,1993-94,Kharif,13.79,50.010881392818284,4.596,DA&FW
Sunflower,All India,country,1994-95,Kharif,6.95,-49.557522123893804,-6.832,DA&FW
Sunflower,All India,country,1995-96,Kharif,9.03,29.795800977854476,2.072,DA&FW
Sunflower,All India,country,1996-97,Kharif,7.95,-11.921116773764675,-1.0759999999999996,DA&FW
Sunflower,All India,country,1997-98,Kharif,5.91,-25.72327044025157,-2.045,DA&FW
Sunflower,All India,country,1998-99,Kharif,7.33,24.115156646909387,1.4239999999999995,DA&FW
Sunflower,All India,country,1999-00,Kharif,4.73,-35.4072861236185,-2.5949999999999998,DA&FW
Sunflower,All India,country,2000-01,Kharif,4.19,-11.470215462610902,-0.5430000000000001,DA&FW
Sunflower,All India,country,2001-02,Kharif,3.09,-26.198997852541154,-1.0979999999999999,DA&FW
Sunflower,All India,country,2002-03,Kharif,5.32,71.9689621726479,2.226,DA&FW
Sunflower,All India,country,2003-04,Kharif,6.11,14.81481481481482,0.7880000000000003,DA&FW
Sunflower,All India,country,2004-05,Kharif,8.73,42.967086949402315,2.6239999999999997,DA&FW
