time_s,MAX_se,Min_se,MAX_nar,Min_nar,MAX_rat,Min_rat
2020-01-01,20,10,17,11,22.4,12
2020-01-02,20,12,19,13,19,13.8
2020-01-03,20,12.5,21,15,20,12.8
2020-01-04,16,10,21,13,20.2,10
2020-01-05,21,8.8,21,11.6,21,10.2
2020-01-06,24,9.6,21,13,26,11
2020-01-07,26,12.4,22,13,28,14
2020-01-08,25,14,22,16,25,15.2
2020-01-09,18,9,21,14,19,10
2020-01-10,18,6,17,8.5,19,8
2020-01-11,22,5,22,5.5,25,9
2020-01-12,25,8,23,7.5,26,12
2020-01-13,28,10,26,10.5,26.6,13
2020-01-14,22,15,27,15,23.4,16
2020-01-15,24,15,26,15,25.6,16.6
2020-01-16,19.2,14,26,15,22.4,12
2020-01-17,20,11.6,20,15,20,10
2020-01-18,17.6,9,22,13,21,10
2020-01-19,18.2,9,20,10.5,20,10.4
2020-01-20,22,7,21,11,24,9
2020-01-21,26,11,25,11,28,13
2020-01-22,21.4,14,25,15,25.2,16
2020-01-23,20,11,22,14,21.2,13
2020-01-24,24,8,23,12,25,11
2020-01-25,24,9,23,11,24.6,12
2020-01-26,26,11,23,12,27.4,12.8
2020-01-27,27,14,25,14,30,16
2020-01-28,25.6,14,27,16,23.4,14
2020-01-29,23.2,14,23,16,23,11
2020-01-30,20,11.4,22,14,21.2,11.4
2020-01-31,22,8,23,12,22.4,11.8
2020-02-01,22,10,23,10.6,22,11
2020-02-02,22.2,9.4,23,8.6,24,11
2020-02-03,23.4,11,24,13,26,13
2020-02-04,25,12,18,14,27.4,13
2020-02-05,24,11,23,15,25,13
2020-02-06,25,12.6,24,14,26.2,13
2020-02-07,23,12,23,13,24,13
2020-02-08,22,10,22,15,22,12
2020-02-09,23,8,22,14,22,11
2020-02-10,26,10,23,10.2,26,12
2020-02-11,27,13,25,12,28.2,14
2020-02-12,27,13,25,15,28.4,16
2020-02-13,28.2,13.8,27,13,28,14
2020-02-14,28,13,27,16,28,14
2020-02-15,28,13,27,14,28.2,14.6
2020-02-16,28,10,27,15,28.2,17
2020-02-17,28,11.8,27,14.6,30,15
2020-02-18,30,12,28,16,30.2,13
2020-02-19,31,13,30,17,31.6,16
2020-02-20,32,17.6,29,13.5,32,17
2020-02-21,30.6,18,29,18,29,18
2020-02-22,28,15,28,20,29,17
2020-02-23,27.4,14,28,19,29,16
2020-02-24,26,14,25,18,27,15
2020-02-25,26,12,25,17,27,13
2020-02-26,28,13,28,15,29,15
2020-02-27,30,15.8,28,17,30.4,15
2020-02-28,33,16,29,18,31,18
2020-02-29,29.6,20,32,17,31,20
2020-03-01,30,17,30,17.6,31,19
2020-03-02,31.4,19,31,18,31,18
2020-03-03,31,15,31,20,30,16
2020-03-04,31,16,32,19.2,30,16.8
2020-03-05,31,15,30,19,29.2,16
2020-03-06,29.4,17,29,17,28,16
2020-03-07,28,14,27,19,26.4,15
2020-03-08,27,14,29,18,29,15
2020-03-09,28,15,29,18,29,16
2020-03-10,29,18.8,23,20,30.4,19
2020-03-11,29.4,17.6,31,20,28,15
2020-03-12,30,15,31,21,28.4,15
2020-03-13,27,14,27.8,21,26.6,13
2020-03-14,28.6,12.4,29,20,26.6,14
2020-03-15,26,14.6,30,19,28,15
2020-03-16,29,13,29,20,31,14
2020-03-17,31,15,31,16.5,33,18.5
2020-03-18,33,19,30,21,34,19.6
2020-03-19,33,19,25,19,33.4,18
2020-03-20,31,20,29,19,33,20
2020-03-21,32,16,30,21,33,18
2020-03-22,33.4,16,30,20,34,18
2020-03-23,36,19,31,18.6,35,19
2020-03-24,35,21,31,21,35.8,22
2020-03-25,35.4,20,36,26,35,23.6
2020-03-26,32,20,33,21,33.6,21.4
2020-03-27,22.4,18.4,31,23,24.8,18.2
2020-03-28,29,17.8,31,28,31,19.8
2020-03-29,32.2,19.4,32,27,33.4,20
2020-03-30,34.6,21.8,33,32,35.2,22
2020-03-31,36.4,22.6,36,30,36.2,22.4
2020-04-01,35.4,20.4,36,30,35.2,21.4
2020-04-02,34,19.6,37,28.2,34,22.2
2020-04-03,34,20.6,34,24.7,35.2,20.4
2020-04-04,34.6,20.6,34,30,34.8,22
2020-04-05,36,22,34,32,36.6,23
2020-04-06,37.2,20.4,36,26.5,37.6,24.2
2020-04-07,37.6,22,37,24.6,36.6,24.4
2020-04-08,37,23.4,37,31,35.4,21
2020-04-09,36.4,21.4,36,31,35.4,23.4
2020-04-10,37,23.8,38,31,36.6,23.2
2020-04-11,37.8,24.2,34,27.6,37,24.2
2020-04-12,38.4,22.8,39,32,38.4,24
2020-04-13,38,23.4,38,26.4,38,23.4
2020-04-14,40.2,24.8,39,34,38.4,23.8
2020-04-15,39.8,25.6,38,26.5,39,25.6
2020-04-16,39.4,24,39,27.4,38.2,25
2020-04-17,39.4,26.4,39,38,38.4,25
2020-04-18,35.4,26.8,35,31,37,25.8
2020-04-19,37,26,36,28.4,36.4,25.2
2020-04-20,37,22.6,37,33,37,24
2020-04-21,34.8,21.2,35,32,36,22.2
2020-04-22,37.2,22.4,35,32,36.4,24.8
2020-04-23,38.4,25,NA,NA,38.4,25.4
2020-04-24,39.4,24,38,33,37.6,25.2
2020-04-25,38,27,38,35,36.8,23.6
2020-04-26,37,24.2,37,35,37.6,24.6
2020-04-27,36,23.8,34,29,37,25.4
2020-04-28,37,24,38,30,37.4,28
2020-04-29,39,24.4,35,35,38.6,32
2020-04-30,38,26.6,37,33,39.6,33.4
2020-05-01,39.6,25.4,37,30.4,NA,NA
2020-05-02,41.2,25.2,40,34,NA,NA
2020-05-03,41,27.8,40.4,28.6,NA,NA
2020-05-04,41.2,25.4,36,36,NA,NA
2020-05-05,38,25,37.2,30,NA,NA
2020-05-06,39,25.6,39,35,NA,NA
2020-05-07,40.8,25,38,32,NA,NA
2020-05-08,41,25.2,39,28,NA,NA
2020-05-09,41,27,39,33,NA,NA
2020-05-10,41.8,24.6,38,34,NA,NA
2020-05-11,37.4,23.4,35,26.2,NA,NA
2020-05-12,36.6,24.8,36,31,NA,NA
2020-05-13,39.4,26.2,40.7,34,NA,NA
2020-05-14,38.4,26,37,37,NA,NA
2020-05-15,40.4,27.4,39,31.7,NA,NA
2020-05-16,39.6,27,40,28.4,NA,NA
2020-05-17,40.4,25.4,40,34,NA,NA
2020-05-18,39.8,25.4,37,37,NA,NA
2020-05-19,40.4,25.6,38,32,NA,NA
2020-05-20,40.6,27,39,36,NA,NA
2020-05-21,41.6,22.2,39,34,NA,NA
2020-05-22,42.2,27.6,38,33,NA,NA
2020-05-23,42.6,30.2,40,36,NA,NA
2020-05-24,43.2,29.8,39,39,NA,NA
2020-05-25,44,29,42,41,NA,NA
2020-05-26,43.6,27,44,39,NA,NA
2020-05-27,42.6,30,35,34,NA,NA
2020-05-28,42.4,30,40,33,NA,NA
2020-05-29,41,30,35,33,NA,NA
2020-05-30,41,29.4,36,30,NA,NA
2020-05-31,39,27.8,35,32,NA,NA
2020-06-01,38,28.6,39,29,37,30
2020-06-02,34,27.4,32,30,28.8,21
2020-06-03,32,23,29,28,30,25
2020-06-04,23,20.8,29,24,27,20.6
2020-06-05,31.2,19.2,23,22,33.4,23
2020-06-06,34.6,22.8,35,26,33.4,24
2020-06-07,34.4,24.6,35,29,35,25
2020-06-08,35.4,24.8,29,28,34,25
2020-06-09,37.2,25.6,36,29,35.4,25.6
2020-06-10,37,25.6,32,30,36.2,26
2020-06-11,38,25.6,37,29,35,24
2020-06-12,37.4,24,32,29,35.4,25
2020-06-13,32.8,25.4,35,25,33,24
2020-06-14,34.6,26,27,26,32.2,25.4
2020-06-15,35,25.8,28,27,34.4,25
2020-06-16,37.8,25,35,25.7,34,26
2020-06-17,35,21.2,27,27,32.4,25
2020-06-18,34.8,21.6,32,27,35,27
2020-06-19,33.8,22,26,26,33.4,27.2
2020-06-20,30,22.4,35,26,32.4,23
2020-06-21,33.2,25.2,28,27,33.4,25
2020-06-22,34,23.6,27,25,34.4,24
2020-06-23,29,23.8,28.7,24.5,31,25
2020-06-24,29.8,24,35,27,27,26
2020-06-25,33.6,25,35,24,33,25
2020-06-26,33.4,24,29,26,NA,NA
2020-06-27,33,23,33,27,33,23
2020-06-28,33,24,34,25,32.4,24
2020-06-29,33,24.6,28,25,32.4,24
2020-06-30,34.8,25.4,33,26,34.2,25
2020-07-01,35.4,25.8,34,27,35.4,27
2020-07-02,34.4,27.4,33,25,34,26
2020-07-03,33,26,35,26,29.4,26.4
2020-07-04,33,24,33,27,32.2,25.6
2020-07-05,27.2,24.2,29,27,28.4,26
2020-07-06,31,23,28,25,27,25
2020-07-07,33,24,28,25,31.8,25.6
2020-07-08,32,25.6,33,27,33,26
2020-07-09,33.4,25,34,26.4,32,26
2020-07-10,32,25.4,32,26,30,25.6
2020-07-11,31.4,25.4,30,30,31,24
2020-07-12,31,23.6,32,28,30.4,25
2020-07-13,32,24,33,27,32.4,24
2020-07-14,31,25.8,28,27,32,25.6
2020-07-15,33.4,24.6,32,27,30.2,25.6
2020-07-16,31,25,33,26,30.8,25.4
2020-07-17,32,24.8,32,26,29.2,26.8
2020-07-18,33.4,25,33,27,32,28.2
2020-07-19,32,25.8,31,28,30,26
2020-07-20,32,25.4,31,26,31,27
2020-07-21,33,24.6,28,24,32,25.4
2020-07-22,33,24.8,33,25,30.6,26.8
2020-07-23,33.4,24.8,28,24,30.6,25.2
2020-07-24,32.6,23.4,31,25,30,26
2020-07-25,31,23,30,26,29.4,24
2020-07-26,33,24,32,25,32,24
2020-07-27,33,25,33,27,32,24
2020-07-28,33,25.2,32,24,32,24
2020-07-29,29,26,30,25,29.6,25
2020-07-30,32.2,25,31,25,29.8,24
2020-07-31,35,25.4,33,26,31.2,24
2020-08-01,34.2,25,33,27,31,25
2020-08-02,34,26,31,26,NA,NA
2020-08-03,30,25.8,29,24.8,28.2,25.4
2020-08-04,32,24.6,28,25,30,24.4
2020-08-05,29,24,28,24,28.8,23.8
2020-08-06,30,25,29,25,30,24
2020-08-07,28.4,25,29,26,27.6,24.6
2020-08-08,27.8,24,27,24,30,23.4
2020-08-09,29,24.6,25.5,25,27,23
2020-08-10,29.4,24.4,26,25,28.6,23
2020-08-11,25.6,24.6,29,25,29,23.8
2020-08-12,28,24.6,27,25,27,23.6
2020-08-13,25.2,24,28,25,25.2,22.6
2020-08-14,29,24,28,24,25,23
2020-08-15,28.4,23.6,28,24,26,22.2
2020-08-16,30.4,24,29.5,24,25,23.6
2020-08-17,28,24.2,29,24,27.2,23.4
