time_s,MAX_br,Min_br,MAX_et,Min_et,MAX_me,Min_me,MAX_sa,Min_sa,MAX_go,Min_go
2020-01-01,20.2,4.4,15.8,6.2,20.2,3.2,19.2,4.4,20.6,8.2
2020-01-02,21.6,10,20.2,8,22,5.8,17.8,8,23.8,12.2
2020-01-03,19.8,12.4,20.2,11.4,22.2,8.8,20.4,7,16.8,13.8
2020-01-04,18,10,19.4,11.4,21.6,9,15.8,6.4,20,11.6
2020-01-05,18.6,8.4,22.4,10.8,20.6,8.4,17.6,4.6,17.6,13
2020-01-06,18.4,9,24.2,9,19,11.2,14.8,9,15,11
2020-01-07,16.6,12.6,24.6,12.8,17.8,13,11.8,10.4,18.4,10.4
2020-01-08,15.2,12.4,18.6,13.6,14.4,12.4,10.6,8,16.2,10.6
2020-01-09,13,9.4,15.4,7.8,14.6,8.4,17,5.6,16.2,13.4
2020-01-10,12,8,17.6,6.8,17.4,7.4,20.2,5.4,17.4,11.8
2020-01-11,13.4,8.4,20.6,5,19.4,6.4,20,5.8,14.2,10
2020-01-12,11.8,8,23.4,6.2,22.2,7.8,21.6,8.6,13.4,8.2
2020-01-13,11.6,8.8,26.4,7.4,18.8,9.2,15.8,10,13.4,10.2
2020-01-14,19.4,10.6,17.8,12.4,16.4,9.8,20.2,9.8,18,10.4
2020-01-15,19.8,11.6,18,12.2,19.8,7.8,NA,NA,19.8,12
2020-01-16,18.6,13.6,16,15,15.6,11,18.4,8.4,16.6,12.8
2020-01-17,15.2,11,18.6,11.4,17.4,11.2,16.6,10.2,16.8,15.4
2020-01-18,15.2,10.8,16.2,9.2,17.2,10.2,19.4,10,18.8,14.4
2020-01-19,16.8,10.2,18.6,10,16.2,7.8,19.6,6.6,16.6,12.8
2020-01-20,13.4,9.6,18.4,7.8,15.6,8.4,17,6.4,17.8,11.6
2020-01-21,16.4,9,21.4,8.6,20,10.2,19,9.6,18.4,10
2020-01-22,17.4,7.4,20.4,7.6,17.4,8,22,7.8,19.8,8.4
2020-01-23,19.4,8.6,21.4,9.2,20,10.4,20.4,7,21.4,11
2020-01-24,19.4,8.2,22.2,8.8,20.6,8.8,22.8,5,15.4,9.8
2020-01-25,15.6,9,21.2,7,20,6.4,15.6,7,16.6,8.8
2020-01-26,19,8.6,24.6,8.4,22.6,7.4,20.2,10,20,7.8
2020-01-27,18.4,8.4,26,10.6,21.4,9.8,17,7.6,18.2,9.4
2020-01-28,17,12,24.6,12,21.8,13,15.2,10.8,21.6,10.6
2020-01-29,15.2,10.8,21,13,20.4,10.8,16,8.8,23,14
2020-01-30,19.6,8.6,21.2,9.4,19.6,9,20.4,6.6,21.6,14.6
2020-01-31,18.2,8.4,22,7.6,19.4,8.8,20.8,7.2,22.2,10.8
2020-02-01,16,7.4,22.2,8.4,19.4,7,18,8,21.2,8.4
2020-02-02,19,8.2,21,8.4,19,7.4,20,5.8,21.4,10.6
2020-02-03,18.6,8,20.8,7,21.2,6.4,17.8,6.2,22,9.4
2020-02-04,19,6.4,22.2,8,21.8,6.8,19.4,6.6,22,8
2020-02-05,20.6,7.4,23.2,9.8,21.2,8,21,6.8,22.4,8.6
2020-02-06,18.6,7.6,21.8,9.6,19.2,7.2,17.8,6,22.2,11.2
2020-02-07,19,6.2,22.2,11,19.6,6.8,19,5.6,22.6,8.8
2020-02-08,20.4,7.4,21.4,8.8,20.8,8.4,21.4,5,22,8.8
2020-02-09,20.8,7.8,21.8,7.6,22.2,7.4,22,5.6,22.4,8
2020-02-10,20.4,8,23.2,7.6,21.4,7.4,21,7.4,23,9.2
2020-02-11,20.8,8.2,24.2,7.8,22.6,7,21.8,7,23.2,9
2020-02-12,22,9.2,26.4,9,24.2,10.4,25,8.6,23.2,10.4
2020-02-13,25,12,29.2,11.8,27.4,14,28.4,10.4,23.8,13.2
2020-02-14,24,14.8,27,16.8,24.6,15,20.6,12,23.6,13.2
2020-02-15,21.6,11.4,26.4,12,25,12.8,25.6,10.2,23.8,13.6
2020-02-16,23,12,28,10,26.4,10.4,24,10.6,25.8,11.6
2020-02-17,22.4,12.2,28,10.8,26.2,10.4,25.2,11,25.6,12.6
2020-02-18,24.4,11,25.4,10.4,25.2,12,25,10.2,25.4,14.4
2020-02-19,25.2,10,29.2,11.6,NA,NA,23,10.6,26.8,11.6
2020-02-20,25,15,29.4,15,27.2,14.8,25.8,10.4,25.8,13.4
2020-02-21,19.8,15,26.6,16.6,20,14.6,19,12.2,23.2,15.8
2020-02-22,22.6,14.8,21.8,14.4,24.4,14.2,24.2,11,26.8,16
2020-02-23,25.4,13.4,24.6,13.6,26.6,14,21.4,11.6,27.8,17
2020-02-24,25.2,13,26,14.2,26,13.6,24.6,9.6,26,17
2020-02-25,23,14,25.8,14.2,25.8,14.6,22.8,10.6,28.6,15.6
2020-02-26,22.4,13.4,28.2,14.6,27.2,14,22,12.4,19.6,14.8
2020-02-27,22.6,13.4,28.6,16.8,26.8,14.6,21.2,12.8,22.8,13
2020-02-28,24.2,14.6,28.8,17.6,26.2,17.8,22.8,12.8,25.6,13.6
2020-02-29,26,16.6,31.2,17.8,27.2,16,23.6,12.8,26.8,14.8
2020-03-01,25.5,15,29,15.6,27.6,15.8,26,11,27.7,15.4
2020-03-02,26,14.4,29.6,17.4,27.8,16,25.6,11.2,28,17.2
2020-03-03,26.6,15.4,29,19,28.6,15.4,25,12,29,16.8
2020-03-04,27.2,13.4,22.2,17.4,28.8,15.8,26,12.2,30,16.6
2020-03-05,24.4,16.4,26.4,15.4,26.6,15.4,24,14.8,28,18
2020-03-06,16.4,14.2,26.8,16.4,21.4,14.4,17.6,11.4,26,16
2020-03-07,21,13.4,24.8,16,21,14.2,15,11.2,23.8,17.4
2020-03-08,23.8,13,25.6,15,24.4,13,23.4,9.6,25.4,15.4
2020-03-09,25.2,13.6,27,13,25,13.8,25.4,11,26.2,16.4
2020-03-10,24.4,12,22.8,14.4,25.6,12.2,24,11.4,25.8,14.4
2020-03-11,26.2,14.8,29,15.8,27,16.4,22,14,26.4,15.6
2020-03-12,28.6,17.4,29.4,17.6,27,16,25,12.6,30.6,18.2
2020-03-13,25.2,17,28.8,15.8,28,15,17,13,21.8,18
2020-03-14,25.6,16.4,26.7,18.6,23.6,16.2,23,10.6,25,17.4
2020-03-15,22.8,14,26.5,15,25,13.2,23,11.6,27.8,17.2
2020-03-16,25.6,13.2,25.8,14.4,26.2,13.8,25.6,11,27.4,17.8
2020-03-17,27.4,14.4,28,13.8,27.4,14.4,26.8,10.6,27,16
2020-03-18,28,15,30.6,15,29.2,14.8,27,12.8,27.8,17.6
2020-03-19,28.4,15.8,32.6,16.4,29.8,17.4,26.8,12.6,30,18.6
2020-03-20,29.4,16.6,34.2,17,31.2,18.4,27.6,13,31,18.2
2020-03-21,29.4,18,31.6,18.6,29.8,19,28,13.8,22.8,17.6
2020-03-22,27.8,18.4,32.8,18.8,30.4,17.4,27.6,13.4,28.4,16
2020-03-23,29.2,17,32.4,18.6,32.2,18.6,27,15,29,18.2
2020-03-24,29.6,17.4,34.2,19,32.8,19.2,28.4,15.8,30.2,18
2020-03-25,31.4,18.6,34.2,21.6,33,18.2,27.8,16,31.8,19.2
2020-03-26,31,21.2,32.6,22.2,28,21.2,28,17.4,31.4,22.2
2020-03-27,23,18.4,24.4,19,26,19.4,22.8,15.2,31.4,21.8
2020-03-28,29,17,30.2,18,27.6,16.8,26,14.8,32,20.6
2020-03-29,30,17.4,31.2,16.8,29.8,18.4,28,14.2,31.4,21
2020-03-30,30.4,16.4,32.6,16.6,29.6,17.4,27.6,13.4,31.8,20.6
2020-03-31,31,16.2,35,17.4,32.2,17.6,28.4,14.4,32.4,20.2
2020-04-01,33.6,19.6,35.8,20,32.6,18.8,30,18.6,34.8,17.2
2020-04-02,31.4,19.4,32.8,21.6,30.6,20,28.2,15.6,34.8,19.8
2020-04-03,30.4,16.2,33.4,17.8,29.6,16.8,28,12.6,32.6,23
2020-04-04,32.2,15.4,33.8,16.8,32.2,16,28.8,13.8,33,19.4
2020-04-05,32.6,16,35.2,17.8,32.8,17.6,28.8,14.4,34.6,16.4
2020-04-06,34.6,18,37.4,19.8,35.6,19.6,32.6,15.6,36,23.8
2020-04-07,34,19.8,38,20.4,33.2,19.4,28.6,15,36.8,24.2
2020-04-08,34.6,22.6,36.2,22.4,32.4,21,30,16,33.6,21.8
2020-04-09,32.4,17.8,35.6,19.8,32.8,13.5,29.6,14.6,36.4,20.6
2020-04-10,35,17,36.4,18.4,35.2,18.4,31,15.8,36.2,17.6
2020-04-11,36.4,19.8,39.2,21.4,36.8,21.2,32.6,17,36.2,18.8
2020-04-12,35.2,20.2,37.8,23.4,36.2,21.2,33.2,17.4,37.2,21.8
2020-04-13,36.4,19.6,38.6,22.4,37.6,22,34,18.4,36.2,23.6
2020-04-14,37.2,21.6,40,24.4,39.2,24.8,34.4,18.8,37.2,25
2020-04-15,37.8,24,39.8,23.8,39.6,25.2,35,21.2,35.4,24
2020-04-16,36.6,23.8,40.4,24.8,38.8,23.2,34,20.2,35.6,23.2
2020-04-17,35.6,23.4,38,25.6,36.8,24,32,20.6,36,24.6
2020-04-18,35.4,20.4,38.8,24.4,36,21.6,33.6,21,36,22.4
2020-04-19,34.6,21.4,35.6,24,34.4,20.6,31.8,17.8,37.4,24.2
2020-04-20,32,20.2,33.6,23,32.4,21.4,29.4,17.6,35.2,22.2
2020-04-21,32.6,20,35.4,20.2,34.2,20.2,30,16.2,31.2,21
2020-04-22,33,20.2,36.2,22.4,35.4,20.2,29.6,16.8,32.6,19.4
2020-04-23,35.4,22.4,35,24,34.2,23.4,32,17.6,33.2,21.4
2020-04-24,35,20.6,37.8,22.8,36.6,21.6,32,17.2,33.8,22
2020-04-25,32.4,22,37.2,25,37.2,25.2,32.4,18.4,32.4,24
2020-04-26,29.6,19,38.2,22.2,30,21.4,23.8,18,30.6,23.6
2020-04-27,28.4,18.2,34,20,33.2,19.4,26.6,16,30.4,22.6
2020-04-28,30.2,19.4,35.4,23.8,33.4,23.6,30,15.4,32,22.4
2020-04-29,31.4,22,36.6,25,35.4,23.8,28.6,18.2,33,21
2020-04-30,33.6,23,39.4,25.4,37.8,26.4,30.8,20.2,33,23.8
2020-05-01,30.4,22,40.4,28,38.4,25.8,28.4,17.8,24.6,19.6
2020-05-02,32.6,21.6,40.4,25.6,37,25.6,31.4,20.6,31,21.2
2020-05-03,32.4,23.6,39,21.4,34.4,23,31.6,19.2,33.4,22.6
2020-05-04,34,22.2,35,22.4,35,21,30.6,19.4,33,25
2020-05-05,33,24,36,23.4,36.6,24,30,19.4,32,22
2020-05-06,33.8,21,36.6,24.4,34,25.2,29.4,18.8,32,20.4
2020-05-07,31.6,16.4,36.4,23.4,36.6,23,30,16,28.8,21.4
2020-05-08,34,21.2,41.2,24,39.2,24,30.6,18,32.8,20.6
2020-05-09,35.4,24,41,25.6,40.4,27.6,32,19.6,33.8,23.2
2020-05-10,33.6,20.2,40,24.6,35.2,24.2,26.6,18.6,31.4,25.2
2020-05-11,33.4,19,37.8,23.2,34.4,22,31.6,16.8,34.4,23
2020-05-12,32.8,23.4,38.4,26.8,37,25.6,31.4,21.6,35,24.4
2020-05-13,33.4,23.6,37.4,26,34.6,27.4,30,20.8,36.6,25
2020-05-14,35.8,23.4,40.8,25.2,39.2,24.6,33,20.4,37.6,26.4
2020-05-15,37.6,24.8,40.4,28.6,38,25,34.8,20,37.4,26.4
2020-05-16,37.4,23,40,27,39.4,24.6,35,20,39.4,26.6
2020-05-17,39.2,22,41.6,25,40.4,24.6,36,19.4,40,23.4
2020-05-18,38.8,23.2,41.6,27.4,40.4,24.2,36.2,19.6,38.8,25.6
2020-05-19,39,22.6,41.8,25.4,40.2,23.4,35.8,18.2,36.8,27.4
2020-05-20,38.4,21.4,40.8,25,39.4,23.6,35,18.6,36.2,26.4
2020-05-21,37.4,21,41.6,24.2,41.4,25.8,36,19.6,37.4,25
2020-05-22,40,22.6,44.4,24.8,43.4,24.6,36.8,20.4,36.8,26
2020-05-23,39.2,26.6,45.4,29,44.2,27,37.8,21.6,36,26
2020-05-24,41.4,28.4,45,30,44,30,38,23.6,39,27.6
2020-05-25,42,26.4,45,30,43.8,28.8,38.4,22,42,27.2
2020-05-26,42,26.4,44.8,29.4,45.6,29.4,39,21.4,41.4,28.4
2020-05-27,41,26.2,45.6,32,45.2,30.6,39,22.8,36.6,27.2
2020-05-28,34.4,27.4,42.6,30.4,39.6,23.8,34.8,24,32,23
2020-05-29,34,22.4,39,25.6,33.2,24.2,30,22,33.4,25
2020-05-30,29.2,22.6,34.4,24,34.2,24.6,27.2,21.6,33.8,24.2
2020-05-31,28.6,23,36.2,24,33.6,21.4,27,21.4,32,23.2
2020-06-01,31.8,24,37.4,24.4,35,22.2,31,20,NA,NA
2020-06-02,35.2,23.4,37.8,29.6,36.4,26.8,32.4,21.2,34.6,25
2020-06-03,38,26,36.6,27.8,36,25.8,32.8,22,35.4,26.6
2020-06-04,32,26.6,31.6,24.6,34.6,26,32.6,20.6,31.2,25.4
2020-06-05,29,24,34.2,22.4,35.2,26.2,28.2,20.8,25.4,23.6
2020-06-06,34.4,22.6,35,23.2,36.4,25.2,31.6,20,25.4,23.6
2020-06-07,35.6,25.6,37.6,27,34.2,26.4,30.6,22.4,33.6,24.6
2020-06-08,37.6,25.4,38.4,26.8,37.4,25.6,33.4,22.8,35.6,25.4
2020-06-09,39.4,26.6,40,28.6,39.6,27.6,34.6,22.4,36.6,27
2020-06-10,40.4,28,41.8,29.6,40,29.6,34,24.6,36.6,29.2
2020-06-11,37.2,29.6,38.6,30,40.2,28.8,34,23.6,36.4,29.2
2020-06-12,39.6,29,40,29.8,40.2,31.2,34.6,26,35.6,29.2
2020-06-13,37,30,40.6,29.8,38.6,30.2,34,23.2,35,28
2020-06-14,34.6,27.2,36.8,28.8,40,28.8,32.8,23.6,35.6,26.8
2020-06-15,35.4,28.6,39.8,29.2,41.2,29.8,34,22,34.4,28
2020-06-16,38,28.4,41.2,28.8,41.8,31.2,33.6,23.8,30.6,25.6
2020-06-17,36,27.8,41,30,40.4,30.8,33,22.2,34.2,27.2
2020-06-18,39.8,29.2,42.2,30.4,42.2,29.8,34.6,25,31,27.6
2020-06-19,36,28,41.4,31.2,41,31.2,32.4,25.4,31,27
2020-06-20,35,28,39,30,38,24.6,32.6,25.8,28.4,25
2020-06-21,31.6,24.4,38.2,29.6,36,27.2,30.8,22.4,32.2,26.4
2020-06-22,36.6,26.2,38.4,28.8,37,25,33,24.8,32,26.6
2020-06-23,32,26,35.8,26,37,28.6,33,25.4,32.2,27.6
2020-06-24,32.4,27.6,32.8,26.8,34,28,31.2,25.6,34.4,28.2
2020-06-25,31,27.4,36,27.4,36.4,28,32,24.4,29.8,25.2
2020-06-26,34.6,26.4,38.8,29.8,37,28.6,33,25,33,26.2
2020-06-27,36.4,28.6,34.6,29.2,40,29.4,33.4,26,32.4,27.4
2020-06-28,37.8,28.8,39.8,30.2,40,30.4,35.8,25,27.6,26.4
2020-06-29,30.2,26,40.4,28.2,41,28.4,33.2,25.8,29.4,26
2020-06-30,34.6,26.6,37.8,27.6,37,27.2,33.8,24.6,30.8,26.8
2020-07-01,35.4,28.4,38.6,30.4,38,30,33.4,23.6,33.4,27.6
2020-07-02,36.8,30.2,40.4,30.4,40,31.4,32.4,21.8,33,28.4
2020-07-03,31.8,25.8,42.2,32,41,31.3,33.6,26.6,33.4,28.4
2020-07-04,32.4,28.2,38.8,29.8,40,30.2,32,25,29.4,27.4
2020-07-05,32,26.4,35,29,34,23,31.2,21.6,34,27
2020-07-06,33.4,26,33.4,29,35,26.8,32,24.4,34,27.2
2020-07-07,26.4,25,32,27.4,35,27.8,31.2,23.4,31,27
2020-07-08,31.2,25.4,35,27.6,36,28,32.6,24.6,33.6,26
2020-07-09,34.4,27.6,37,26,38,28.6,34,23.8,29.6,27.4
2020-07-10,34,28,35,28,38.2,28,33,24.8,28.2,25
2020-07-11,32.4,27.2,36,30,36.6,25,30.6,24.8,31.6,26
2020-07-12,33.4,26.4,37,26.4,35,27.2,31,22.2,33.2,26.6
2020-07-13,34.4,27,37.2,27.8,36.8,27.2,33.6,24,32.2,25
2020-07-14,35,28.4,37.4,29.2,37.8,28.8,33.4,25.8,30.4,25.6
2020-07-15,33.6,27.6,34.6,27.4,36.8,30,32.8,25.4,33,26
2020-07-16,35,27.4,34.5,28,37.4,29,32.8,26,33.8,28.6
2020-07-17,35.8,29,37.4,28.2,35.6,20.8,34,25.8,34.8,29
2020-07-18,33,26.4,38,29.8,34.8,30,30.4,26.2,32.8,29
2020-07-19,34,27.8,35.8,29,34,26,33.6,26,28.8,26
2020-07-20,32,28.6,33.6,25,32.4,26.4,30.2,24.4,31.6,26.6
2020-07-21,32.2,24,34.6,26.2,31.8,24,25,22.6,31,26.2
2020-07-22,32.2,24.2,34.2,26.6,27.2,24.6,27.2,21.8,33.6,27
2020-07-23,33,26.2,34.8,25.8,34.4,24.8,31.6,23,32,27.4
