year,production,consumption
1960,10324,14218
1961,10997,13893
1962,12072,14822
1963,10776,16054
1964,9853,16531
1965,12257,18115
1966,10394,19324
1967,11393,17786
1968,16540,19294
1969,18651,21725
1970,20093,22007
1971,23832,23576
1972,26410,28245
1973,24735,30178
1974,21778,27048
1975,24104,27004
1976,28846,28412
1977,29010,30772
1978,31749,33685
1979,35508,36027
1980,31830,34325
1981,36313,36313
1982,37452,37838
1983,42794,42029
1984,45476,43076
1985,31830,43719
1986,47052,45567
1987,44323,56492
1988,45096,48929
1989,54110,53201
1990,49850,47595
1991,55135,58009
1992,55690,57515
1993,57210,53377
1994,59840,58330
1995,65767,64978
1996,62097,66064
1997,69350,69246
1998,66345,63707
1999,71288,69301
2000,76369,66821
2001,69681,65126
2002,72766,75250
2003,65096,68919
2004,72156,72844
2005,68637,69977
2006,69355,73482
2007,75807,76420
2008,78570,70924
2009,80679,78149
2010,80804,81764
2011,86874,81408
2012,94882,83824
2013,93506,93848
2014,95850,93102
2015,86527,88548
2016,92288,97234
2017,98510,95677
2018,99870,95629
2019,103596,95403
2020,107861,102217
2021,109586,109882
2022,107742,105475
