prod,time
288.3,01-01-2003
213.21,01-02-2003
185.8,01-03-2003
156.45,01-04-2003
260.12,01-05-2003
265.36,01-06-2003
241.94,01-07-2003
224.27,01-08-2003
207.04,01-09-2003
184.27,01-10-2003
164.13,01-11-2003
145.62,01-12-2003
126.87,01-01-2004
109.5,01-02-2004
85.73,01-03-2004
69.31,01-04-2004
190.33,01-05-2004
193.9,01-06-2004
191.52,01-07-2004
174.26,01-08-2004
159.98,01-09-2004
142.23,01-10-2004
126.31,01-11-2004
106.6,01-12-2004
89.31,01-01-2005
73.05,01-02-2005
57.5,01-03-2005
40.66,01-04-2005
150.5,01-05-2005
157.38,01-06-2005
144.54,01-07-2005
129.81,01-08-2005
116.22,01-09-2005
102.9,01-10-2005
90.52,01-11-2005
76.31,01-12-2005
61.88,01-01-2006
48.74,01-02-2006
34.49,01-03-2006
20.09,01-04-2006
89.93,01-05-2006
93.2,01-06-2006
82.07,01-07-2006
73.3,01-08-2006
67.17,01-09-2006
64.12,01-10-2006
59.94,01-11-2006
55.94,01-12-2006
54.28,01-01-2007
53.85,01-02-2007
51,01-03-2007
45.63,01-04-2007
116,01-05-2007
133.08,01-06-2007
129.26,01-07-2007
120.19,01-08-2007
110.08,01-09-2007
101.21,01-10-2007
90.25,01-11-2007
83.58,01-12-2007
77.12,01-01-2008
71.62,01-02-2008
65.06,01-03-2008
58.03,01-04-2008
176.92,01-05-2008
241.23,01-06-2008
249.12,01-07-2008
243.8,01-08-2008
232.59,01-09-2008
220.25,01-10-2008
209.61,01-11-2008
195.98,01-12-2008
182.12,01-01-2009
167.74,01-02-2009
152.76,01-03-2009
134.29,01-04-2009
298.26,01-05-2009
331.22,01-06-2009
329.22,01-07-2009
316.23,01-08-2009
300.73,01-09-2009
284.57,01-10-2009
268.88,01-11-2009
251.61,01-12-2009
230.92,01-01-2010
206.23,01-02-2010
183.88,01-03-2010
161.25,01-04-2010
337.13,01-05-2010
351.62,01-06-2010
335.84,01-07-2010
320.47,01-08-2010
298.62,01-09-2010
277.77,01-10-2010
255.58,01-11-2010
239.14,01-12-2010
215.4,01-01-2011
193.73,01-02-2011
171.57,01-03-2011
153.64,01-04-2011
313.75,01-05-2011
378.32,01-06-2011
371.49,01-07-2011
358.75,01-08-2011
336.21,01-09-2011
314.26,01-10-2011
296.71,01-11-2011
276.56,01-12-2011
256.76,01-01-2012
234.25,01-02-2012
212.55,01-03-2012
199.52,01-04-2012
381.94,01-05-2012
501.69,01-06-2012
498.08,01-07-2012
475.26,01-08-2012
461.6,01-09-2012
431.53,01-10-2012
405.75,01-11-2012
376.52,01-12-2012
343.83,01-01-2013
308.09,01-02-2013
271.03,01-03-2013
242.07,01-04-2013
427.3,01-05-2013
443.89,01-06-2013
423.97,01-07-2013
403.78,01-08-2013
383.6,01-09-2013
361,01-10-2013
340.99,01-11-2013
310.67,01-12-2013
280.47,01-01-2014
242,01-02-2014
208.39,01-03-2014
178.34,01-04-2014
344.03,01-05-2014
415.86,01-06-2014
398.01,01-07-2014
381.08,01-08-2014
354.98,01-09-2014
322.631,01-10-2014
301.32,01-11-2014
275.69,01-12-2014
251.13,01-01-2015
220.14,01-02-2015
195.25,01-03-2015
172.21,01-04-2015
341.27,01-05-2015
403.51,01-06-2015
386.8,01-07-2015
367.78,01-08-2015
344.74,01-09-2015
324.5,01-10-2015
299.06,01-11-2015
268.79,01-12-2015
237.88,01-01-2016
203.35,01-02-2016
168.65,01-03-2016
145.38,01-04-2016
303.27,01-05-2016
326.38,01-06-2016
301.81,01-07-2016
268.79,01-08-2016
242.45,01-09-2016
213.28,01-10-2016
188.41,01-11-2016
164.96,01-12-2016
137.47,01-01-2017
115.52,01-02-2017
94.29,01-03-2017
80.59,01-04-2017
277.05,01-05-2017
334.4,01-06-2017
322.75,01-07-2017
300.59,01-08-2017
278.16,01-09-2017
258.66,01-10-2017
238.5,01-11-2017
216.65,01-12-2017
195.62,01-01-2018
175.47,01-02-2018
151.55,01-03-2018
132.31,01-04-2018
353.45,01-05-2018
437.55,01-06-2018
418.01,01-07-2018
408.58,01-08-2018
385.09,01-09-2018
356.25,01-10-2018
331.35,01-11-2018
306.29,01-12-2018
271.21,01-01-2019
239.31,01-02-2019
201.09,01-03-2019
169.92,01-04-2019
331.6,01-05-2019
465.6,01-06-2019
458.31,01-07-2019
435.88,01-08-2019
414.9,01-09-2019
393.16,01-10-2019
373.77,01-11-2019
351.75,01-12-2019
327.96,01-01-2020
303.66,01-02-2020
275.21,01-03-2020
247,01-04-2020
357.7,01-05-2020
558.25,01-06-2020
549.91,01-07-2020
513.28,01-08-2020
478.32,01-09-2020
437.38,01-10-2020
402.99,01-11-2020
367.54,01-12-2020
342.9,01-01-2021
318.31,01-02-2021
295.41,01-03-2021
273.04,01-04-2021
525.65,01-05-2021
602.91,01-06-2021
603.56,01-07-2021
564.8,01-08-2021
517.87,01-09-2021
468.52,01-10-2021
419.81,01-11-2021
378.53,01-12-2021
330.12,01-01-2022
282.73,01-02-2022
234,01-03-2022
189.9,01-04-2022
303.46,01-05-2022
311.42,01-06-2022
285.1,01-07-2022
266.45,01-08-2022
248.22,01-09-2022
227.46,01-10-2022
210.46,01-11-2022
190.27,01-12-2022
171.7,01-01-2023
154.44,01-02-2023
116.7,01-03-2023
83.45,01-04-2023
NA,01-05-2023
NA,01-06-2023
,
,
,
,
,
,
