time_s,MAX_ba,Min_ba,MAX_pat,Min_pat
2020-01-01,16.4,3,18,2.2
2020-01-02,20.6,4.4,20.2,6.2
2020-01-03,20.8,6.6,22,7
2020-01-04,19.4,5,19,5.6
2020-01-05,18,5.6,19.4,7.8
2020-01-06,14.4,9,14,11
2020-01-07,16.4,10.2,13.4,12
2020-01-08,14,7.6,13.6,8.2
2020-01-09,13.2,4,14,6.8
2020-01-10,16.8,4.6,17.6,6.2
2020-01-11,17.4,6.4,18.6,6.2
2020-01-12,20.6,7.6,17.6,10
2020-01-13,17.4,12.2,14,9.4
2020-01-14,14.6,5,14,7.8
2020-01-15,14.4,3.8,13.2,6
2020-01-16,12.4,6.6,14,8
2020-01-17,14.4,6.4,12.6,8.6
2020-01-18,11.6,5.6,17.4,8.8
2020-01-19,10,6.4,16.4,8.2
2020-01-20,14.2,7,16.6,9
2020-01-21,14.8,7,18.6,9.6
2020-01-22,18.4,4.6,20,7.4
2020-01-23,18.4,7.6,17.8,7.4
2020-01-24,19.4,7,19.6,7.6
2020-01-25,19,4.8,15,6.2
2020-01-26,21.8,6.4,19.8,6.2
2020-01-27,17,9.6,13.4,8
2020-01-28,19,9.8,17,11.6
2020-01-29,17.4,7.4,18.2,9.4
2020-01-30,16.6,7.2,19,8
2020-01-31,15.8,5.8,14.2,7.6
2020-02-01,16.6,4.6,16.4,5.8
2020-02-02,17.8,5,18.4,7.8
2020-02-03,20,4.8,19.6,5
2020-02-04,18.4,5.8,18.4,5.2
2020-02-05,18.7,7.2,19,8
2020-02-06,18.4,5.4,18.4,7
2020-02-07,19.4,7,19,6.8
2020-02-08,21,6.4,17.6,6.2
2020-02-09,21,7.4,20.4,5.6
2020-02-10,20.8,6.4,20.6,6.4
2020-02-11,21,5.4,21,6.6
2020-02-12,23.2,8.4,23.6,11.6
2020-02-13,26.2,11.4,25.8,11.8
2020-02-14,24.2,11.6,22.6,12
2020-02-15,25.4,10.6,23.2,11
2020-02-16,25.2,7.8,25.6,11
2020-02-17,26.2,8.2,24.8,10.6
2020-02-18,24.6,10,25.4,11.6
2020-02-19,26.6,9.4,22.4,11
2020-02-20,26.6,13.8,23.6,15.8
2020-02-21,18.4,13.6,20.6,14.4
2020-02-22,23,12.2,24.4,13.4
2020-02-23,23.4,14.2,25,13.8
2020-02-24,24.4,12.6,24.4,11.6
2020-02-25,24,13.4,23.6,13.4
2020-02-26,26.6,12.4,23,13.4
2020-02-27,26,12.8,22.8,14.6
2020-02-28,25.6,15.6,22.4,14.8
2020-02-29,26,16.4,22.6,15
2020-03-01,25,13,26.4,13.2
2020-03-02,26,14,25.6,14
2020-03-03,26,14,26,13.8
2020-03-04,27.6,14,26.4,13
2020-03-05,23.6,14.6,24.6,15
2020-03-06,18.2,13,19,12.2
2020-03-07,20,12.8,16,12.4
2020-03-08,23.6,11.2,23.6,10.4
2020-03-09,23.4,12.6,23.6,12
2020-03-10,24.4,11.4,24,11.6
2020-03-11,23,15,19.4,14.2
2020-03-12,25,13.4,23.4,15
2020-03-13,22,12.4,23.4,12.4
2020-03-14,22,13.4,14.8,11
2020-03-15,21.4,11.4,22.6,10
2020-03-16,25.2,13.6,25,13.6
2020-03-17,26.4,13,26.6,14
2020-03-18,28,13.8,27,14.6
2020-03-19,29,13.8,27.8,16.4
2020-03-20,29,15.2,28.2,15.6
2020-03-21,29,15,26.4,16.4
2020-03-22,29,16,27.4,14.2
2020-03-23,30.4,15.6,28.8,15.6
2020-03-24,28.6,16,26.8,19
2020-03-26,27.4,16.6,27,18.2
2020-03-27,25.4,17.2,21.4,17
2020-03-28,27,16.4,27,15.4
2020-03-29,28.4,17,27.8,16.6
2020-03-30,27.8,16.4,28.8,16.2
2020-03-31,27.8,16.6,26.6,15.8
2020-04-01,29,16,29.6,15
2020-04-02,27.6,17.6,28.6,17
2020-04-03,27.6,14.6,28.8,13.6
2020-04-04,31,14.4,30.4,15.6
